mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title
1.75,"12 km SE of Hanksville, Utah",1718063955360,1718114141520,,https://earthquake.usgs.gov/earthquakes/eventpage/uu80072966,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uu80072966&format=geojson,,,,,reviewed,0,47,uu,80072966,",uu80072966,",",uu,",",origin,phase-data,",10.0,0.3829,0.09,122.0,md,earthquake,"M 1.8 - 12 km SE of Hanksville, Utah"
1.8,"48 km SSW of Cantwell, Alaska",1718063825687,1718063941523,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0247gb3f60,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0247gb3f60&format=geojson,,,,,automatic,0,50,ak,0247gb3f60,",ak0247gb3f60,",",ak,",",origin,phase-data,",,,0.76,,ml,earthquake,"M 1.8 - 48 km SSW of Cantwell, Alaska"
1.48,"6 km WNW of Cobb, CA",1718063617020,1718063712627,,https://earthquake.usgs.gov/earthquakes/eventpage/nc75020542,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc75020542&format=geojson,,,,,automatic,0,34,nc,75020542,",nc75020542,",",nc,",",nearby-cities,origin,phase-data,",16.0,0.01192,0.05,72.0,md,earthquake,"M 1.5 - 6 km WNW of Cobb, CA"
2.14,"7 km SW of Volcano, Hawaii",1718063529200,1718065342270,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74271791,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74271791&format=geojson,,,,,reviewed,0,70,hv,74271791,",hv74271791,",",hv,",",origin,phase-data,",32.0,0.004276,0.1,42.0,ml,earthquake,"M 2.1 - 7 km SW of Volcano, Hawaii"
1.1,"5 km NNW of Boron, CA",1718063231280,1718114331411,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40619207,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40619207&format=geojson,,,,,reviewed,0,19,ci,40619207,",ci40619207,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",27.0,0.1133,0.14,46.0,ml,quarry blast,"M 1.1 Quarry Blast - 5 km NNW of Boron, CA"
4.7,"64 km S of Sigli, Indonesia",1718063168754,1718064483040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000mrlj,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000mrlj&format=geojson,,,,,reviewed,0,340,us,7000mrlj,",us7000mrlj,",",us,",",origin,phase-data,",66.0,1.171,0.73,152.0,mb,earthquake,"M 4.7 - 64 km S of Sigli, Indonesia"
1.7,"64 km SSW of Whites City, New Mexico",1718063146019,1718092483470,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2024ljza,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2024ljza&format=geojson,,,,,reviewed,0,44,tx,2024ljza,",tx2024ljza,",",tx,",",origin,phase-data,",12.0,0.1,0.3,78.0,ml,earthquake,"M 1.7 - 64 km SSW of Whites City, New Mexico"
1.6,"8 km ENE of Balmorhea, Texas",1718062942473,1718133405140,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2024ljyx,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2024ljyx&format=geojson,,,,,reviewed,0,39,tx,2024ljyx,",tx2024ljyx,",",tx,",",origin,phase-data,",16.0,0.1,0.2,63.0,ml,earthquake,"M 1.6 - 8 km ENE of Balmorhea, Texas"
4.7,South Sandwich Islands region,1718062764507,1718065278040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000mrlp,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000mrlp&format=geojson,,,,,reviewed,0,340,us,7000mrlp,",us7000mrlp,",",us,",",origin,phase-data,",34.0,5.389,0.48,57.0,mb,earthquake,M 4.7 - South Sandwich Islands region
0.55,"38 km NNE of Amboy, Washington",1718061753870,1718084890380,,https://earthquake.usgs.gov/earthquakes/eventpage/uw62005877,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw62005877&format=geojson,,,,,reviewed,0,5,uw,62005877,",uw62005877,",",uw,",",origin,phase-data,",17.0,0.004309,0.07,95.0,ml,earthquake,"M 0.6 - 38 km NNE of Amboy, Washington"
